"text,created_at,favorite_count"
"You mean George Bush sends our soldiers into combat they are severely wounded and then he wants $120000 to make a boring speech to them?,07-09-2015 12:09:13,1515"
"Totally false reporting on my call with @Reince Priebus. He called me ten minutes said I hit a “nerve"" doing well end!,07-09-2015 13:25:11,805"
"Watched chief negotiator for Iran on @charlierose last night. He is far smarter than our reps—increase sanctions and walk!,07-09-2015 16:36:24,596"
"Via @EWErickson: “Stop Complaining About Donald Trump” http://t.co/CWx8gA5DTz,07-09-2015 16:45:36,280"
"Dummy writer @Clare_OC from failing @Forbes magazine works so hard to make such trivial license deals look important…,07-09-2015 17:10:50,219"
"Dummy @Clare_OC from failing @Forbes magazine: NASCAR deal was 1 nite ballroom ESPN was small golf outing...,07-09-2015 17:11:06,275"
"Dummy @Clare_OC @Forbes: Tiny fragrance deal with Parlux means nothing. Still sold at Trump Tower...,07-09-2015 17:11:40,263"
"Why does a failed magazine like @Forbes constantly seek out trivial nonsense? Their circulation way down. @Clare_OC,07-09-2015 17:12:11,388"
"“@limbaugh: 'Trump Has Changed the Entire Debate on Immigration'”  http://t.co/894aXjRXDn via @Newsmax_Media by Jason Devaney,07-09-2015 17:48:57,610"
"Via “TRUMP: HILLARY PRESIDENCY WILL CAUSE ‘CRIME WAVE LIKE YOU’VE NEVER SEEN’” http://t.co/cTnLLwl1z4 via @BreitbartNews,07-09-2015 18:18:24,595"
"“TRUMP BATTLES THE NEW TOTALITARIANS: GOP elites join with leftists at Media Matters in targeting threat to both” http://t.co/Vd9FaOVcjr,07-09-2015 18:32:55,409"
"Thanks. https://t.co/ewjfWYic4c,07-09-2015 18:40:36,457"
"True thanks.  https://t.co/k0IxFL6NxK,07-09-2015 18:45:35,1228"
"The elites want Common Core so they can take education out of parental control. NO! Let's Make America Great Again! https://t.co/u25yI5T7E8,07-09-2015 18:54:25,1740"
